题目ID,文件名称,相对文件路径,年份,试卷类型,试卷名称,原卷题号,知识板块,标签,包含TikZ绘图,题型,难度星级,包含解析,组卷引用次数,备注,初次录入的时间,最后修改时间,题干,答案,解析
263,2026-M-深圳中学2026届高三二轮二阶测试-2-逻辑,逻辑\2026\2026-M-深圳中学2026届高三二轮二阶测试-2-逻辑.tex,2026,M,深圳中学2026届高三二轮二阶测试,2,逻辑,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"命题 “$\exists x\in\mathbb{R}$，$e^x\leq3$” 的否定是 (\hspace{1cm})
\begin{choices}
\choice{{$\forall x\in\mathbb{R}$，$e^x\leq3$}}
\choice{{$\exists x\in\mathbb{R}$，$e^x\leq3$}}
\choice{{$\forall x\in\mathbb{R}$，$e^x>3$}}
\choice{{$\exists x\in\mathbb{R}$，$e^x>3$}}
\end{choices}",,
264,2026-M-深圳中学2026届高三二轮二阶测试-3-不等式,不等式\2026\2026-M-深圳中学2026届高三二轮二阶测试-3-不等式.tex,2026,M,深圳中学2026届高三二轮二阶测试,3,不等式,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"若 $a<b<0$，则下列不等式成立的是 (\hspace{1cm})
\begin{choices}
\choice{{$a^2<b^2$}}
\choice{{$a^2<ab$}}
\choice{{$\dfrac{b}{a}>\dfrac{a}{b}$}}
\choice{{$\dfrac{b}{a}+\dfrac{a}{b}>2$}}
\end{choices}",,
265,2026-M-深圳中学2026届高三二轮二阶测试-4-向量,向量\2026\2026-M-深圳中学2026届高三二轮二阶测试-4-向量.tex,2026,M,深圳中学2026届高三二轮二阶测试,4,向量,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知空间向量 $\vec{a}=(1,0,0)$，$\vec{b}=(0,1,0)$，则下列选项可以与 $\vec{a}$，$\vec{b}$ 构成空间向量的一组基底的是 (\hspace{1cm})
\begin{choices}
\choice{{$\vec{c}=(0,0,0)$}}
\choice{{$\vec{c}=(0,0,1)$}}
\choice{{$\vec{c}=(1,1,0)$}}
\choice{{$\vec{c}=(1,2,0)$}}
\end{choices}",,
266,2026-M-深圳中学2026届高三二轮二阶测试-5-数列,数列\2026\2026-M-深圳中学2026届高三二轮二阶测试-5-数列.tex,2026,M,深圳中学2026届高三二轮二阶测试,5,数列,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知数列 $\{a_n\}$，$\{b_n\}$ 均为等差数列，且 $a_1+b_1=4$，$a_5+b_5=8$，则 $a_4+b_4=$ (\hspace{1cm})

\begin{choices}
\choice{{$5$}}
\choice{{$6$}}
\choice{{$7$}}
\choice{{$8$}}
\end{choices}",,
267,2026-M-深圳中学2026届高三二轮二阶测试-6-三角函数,三角函数\2026\2026-M-深圳中学2026届高三二轮二阶测试-6-三角函数.tex,2026,M,深圳中学2026届高三二轮二阶测试,6,三角函数,,是,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"在平面直角坐标系 $xOy$ 中，如图所示，将一个半径为 1 的圆盘固定在平面上，圆盘的圆心与原点重合，圆盘上缠绕着一条没有弹性的细线，细线的端点 $M$（开始时与圆盘上点 $A(1,0)$ 重合）系着一支铅笔，让细线始终保持与圆相切的状态展开，切点为 $B$，细绳的粗细忽略不计，当 $\varphi=2\,\mathrm{rad}$ 时，点 $M$ 与点 $O$ 之间的距离为 (\hspace{1cm})
\begin{tikzpicture}[scale=0.8] % 将 scale 从 1.5 缩小到 1.0，整体图形变小
    % 1. 绘制坐标轴
    \draw[->] (-5,0) -- (3,0) node[right] {$x$};
    \draw[->] (0,-2) -- (0,3.5) node[above] {$y$};
    \node[below left] at (0,0) {$O$};

    % 2. 绘制圆与 A 点
    \draw (0,0) circle (1);
    \node[below right] at (1,0) {$A$};

    % 3. 绘制渐开线
    % 渐开线参数方程: x = r(cos t + t sin t), y = r(sin t - t cos t)
    \draw[thick, domain=0:4.7, samples=100] 
        plot ( {cos(\x r) + \x*sin(\x r)}, {sin(\x r) - \x*cos(\x r)} );

    % 4. 定义 B 和 M 的坐标 (选取 phi=2.0 rad，此时 M 点的横坐标约为 1.4，在视觉上 M 点在第一象限靠右，更符合你新给出的参考图位置)
    \pgfmathsetmacro{\phi}{2.4}
    \coordinate (B) at ({cos(\phi r)}, {sin(\phi r)});
    \coordinate (M) at ({cos(\phi r) + \phi*sin(\phi r)}, {sin(\phi r) - \phi*cos(\phi r)});
    \coordinate (O) at (0,0);

    % 5. 绘制内部连线
    \draw (O) -- (B);
    \draw (B) -- (M);

    % 6. 标注标签与角度
    \node[left, xshift=-2pt] at (B) {$B$};
    \node[above right] at (M) {$M$};
    
    % 绘制角度 \varphi
    \node at (0.25, 0.25) {$\varphi$};
\end{tikzpicture}

\begin{choices}
\choice{{$\dfrac{1}{\cos1}$}}
\choice{{$\dfrac{2}{\sin1}$}}
\choice{{$2$}}
\choice{{$\sqrt{5}$}}
\end{choices}",,
268,2026-M-深圳中学2026届高三二轮二阶测试-7-函数,函数\2026\2026-M-深圳中学2026届高三二轮二阶测试-7-函数.tex,2026,M,深圳中学2026届高三二轮二阶测试,7,函数,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知函数 $f(x)=x^3+ax^2+bx+c$，且 $0<f(1)=f(2)\leq3$，则 $c$ 的取值范围为 (\hspace{1cm})
\begin{choices}
\choice{{$(-\infty,-6)$}}
\choice{{$(-6,-3)$}}
\choice{{$(-6,-3]$}}
\choice{{$[-6,-3)$}}
\end{choices}",,
269,2026-M-深圳中学2026届高三二轮二阶测试-8-复数,复数\2026\2026-M-深圳中学2026届高三二轮二阶测试-8-复数.tex,2026,M,深圳中学2026届高三二轮二阶测试,8,复数,,是,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知关于 $z$ 的方程 $(z^2-4z+5)(z^2+az+9)=0$（$a\in\mathbb{R}$）有四个互不相等的根，若这四个根在复平面上对应的点共圆，则 $a$ 的取值可能是(\hspace{1cm})
\begin{choices}
\choice{{$-4$}}
\choice{{$-6$}}
\choice{{$-7$}}
\choice{{$-9$}}
\end{choices}",C,"解方程 $z^2-4z+5=0$，即 $(z-2)^2 = -1 = (\pm i)^2$，解得 $z=2\pm i$.

设所对应的两点分别为 $A, B$，则 $A(2, 1), B(2, -1)$.

设 $z^2+az+9=0$ 的解所对应的两点分别为 $C, D$，记为 $C(x_1, y_1), D(x_2, y_2)$.

当 $\Delta < 0$ 时，即 $a^2-36 < 0$，解得 $-6 < a < 6$.

即当 $-6 < a < 6$ 时，因为 $A, B$ 关于 $x$ 轴对称，且 $C, D$ 关于 $x$ 轴对称，则以 $A, B, C, D$ 为顶点的四边形为矩形或等腰梯形，所以 $A, B, C, D$ 四点共圆。

此时只需 $-\dfrac{a}{2}\ne 2$，即 $a\ne-4$ 即可。 


\begin{tikzpicture}[scale=1.0]
    % 绘制坐标轴
    \draw[->, thick] (-1, 0) -- (4.5, 0) node[right] {$x$};
    \draw[->, thick] (0, -2.5) -- (0, 2.5) node[above] {$y$};
    \node[below left] at (0,0) {$O$};

    % 定义点 A, B, C, D 的坐标
    % A(2,1), B(2,-1) 为 z^2-4z+5=0 的两根
    \coordinate (A) at (2, 1);
    \coordinate (B) at (2, -1);
    
    % 当 Delta < 0 时，C 和 D 是一对共轭虚根，实部相同，虚部互为相反数
    % 根据方程 z^2 + az + 9 = 0，由求根公式 z = -a/2 \pm \frac{\sqrt{36-a^2}}{2}i
    % 为了展示 C, D 不在 y 轴上的普遍情况，取 a = -2 作为示意
    % 此时实部 x = -(-2)/2 = 1，虚部 y = \pm \frac{\sqrt{36-4}}{2} = \pm \sqrt{8} \approx \pm 2.83
    % 缩放绘图比例，在图上大致取 (1, 2) 和 (1, -2)
    \coordinate (C) at (0.3, 2);
    \coordinate (D) at (0.3, -2);

    % 绘制等腰梯形 ACDB
    \draw[thick] (A) -- (C) -- (D) -- (B) -- cycle;
    
    % 绘制垂直连线 AB 和 CD
    \draw[dashed, thick] (A) -- (B);
    \draw[dashed, thick] (C) -- (D);

    % 标注 CD 所在的直线方程
    \node[below right] at (0.3, 0) {$x = -\frac{a}{2}$};

    % 标注点
    \node[above right] at (A) {$A(2,1)$};
    \node[below right] at (B) {$B(2,-1)$};
    \node[above ] at (C) {$C$};
    \node[below ] at (D) {$D$};
\end{tikzpicture}


当 $\Delta > 0$ 时，即 $a > 6$ 或 $a < -6$ 时，
此时 $C(x_1, 0), D(x_2, 0)$，且 $\dfrac{x_1+x_2}{2} = -\dfrac{a}{2}$，$x_1 x_2 = 9$.

\begin{tikzpicture}[scale=1.0]
    % 绘制坐标轴
    \draw[->, thick] (-1, 0) -- (6.5, 0) node[right] {$x$};
    \draw[->, thick] (0, -2) -- (0, 2) node[above] {$y$};
    \node[below left] at (0,0) {$O$};

    % 定义点 A, B, C, D 的坐标
    % A(2,1), B(2,-1) 为 z^2-4z+5=0 的两根
    \coordinate (A) at (2, 1);
    \coordinate (B) at (2, -1);
    
    % 当 a = -7 时，z^2 - 7z + 9 = 0
    % 两个实根约为 C(1.69, 0) 和 D(5.30, 0)
    \coordinate (C) at (1.69, 0);
    \coordinate (D) at (5.30, 0);

    % 绘制四边形 ABCD
    \draw[thick] (A) -- (C) -- (B) -- (D) -- cycle;
    
    % 绘制垂直连线 AB
    \draw[thick] (A) -- (B);

    % 标注点
    \node[above right] at (A) {$A(2,1)$};
    \node[below right] at (B) {$B(2,-1)$};
    \node[above left] at (C) {$C$};
    \node[above right] at (D) {$D$};
\end{tikzpicture}



故此圆的圆心为 $O_1(-\dfrac{a}{2}, 0)$，半径
$$
r = \dfrac{|x_1-x_2|}{2} = \dfrac{\sqrt{a^2-36}}{2}.
$$

又圆心 $O_1$ 到 $A$ 的距离 $|O_1 A| = \sqrt{(2+\dfrac{a}{2})^2 + 1^2} = r$，
解得 $a = -7$.

综上可得 $a \in (-6, -4)\cup (-4,6) \cup \{-7\}$.

故答案为：$a \in (-6, -4)\cup (-4,6) \cup \{-7\}$.

结合选项，本题选 C."
270,2026-M-深圳中学2026届高三二轮二阶测试-9-统计,统计\2026\2026-M-深圳中学2026届高三二轮二阶测试-9-统计.tex,2026,M,深圳中学2026届高三二轮二阶测试,9,统计,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"某校高三数学考试的预估均分与实际均分存在略微差异，为评选“最难人的代表”，有同学统计了历次考试分差并得到一组数据：7.7，8.1，8.2，8.7，9.4，9.5，若去掉一个最高分和一个最低分，则 (\hspace{1cm})
\begin{choices}
\choice{{这组数据的极差变小}}
\choice{{这组数据的均值不变}}
\choice{{这组数据的方差变小}}
\choice{{这组数据的第 75 百分位数不变}}
\end{choices}",,
271,2026-M-深圳中学2026届高三二轮二阶测试-14-函数,函数\2026\2026-M-深圳中学2026届高三二轮二阶测试-14-函数.tex,2026,M,深圳中学2026届高三二轮二阶测试,14,函数,,否,填空题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,已知直线 $y=-x+t$（$t\in\mathbb{R}$）与曲线 $f(x)=x^2+x+1$，$g(x)=\ln x$ 分别交于 $A$，$B$ 两点，则 $|AB|_{\min}=$\underline{\hspace{4em}}.,,
272,2026-M-深圳中学2026届高三二轮二阶测试-15-解三角形,解三角形\2026\2026-M-深圳中学2026届高三二轮二阶测试-15-解三角形.tex,2026,M,深圳中学2026届高三二轮二阶测试,15,解三角形,,是,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"如图，在 $\triangle ABC$ 中，$D$ 是边 $BC$ 上一点，$AB=AD$，记 $\angle CAD=\alpha$，$\angle ABC=\beta$，$\alpha,\beta\in\left(0,\dfrac{\pi}{2}\right)$，满足 $\sin\alpha+\cos2\beta=0$.

\begin{tikzpicture}[scale=1.2]
    % 1. 定义坐标
    \coordinate (B) at (0,0);
    \coordinate (D) at (3,0);
    \coordinate (C) at (6,0);
    % 使 AB = AD，利用对称性 A 在 B 和 D 的中垂线上
    \coordinate (A) at (1.5, 2.5);

    % 2. 绘制三角形的边
    \draw[thick] (A) -- (B) -- (C) -- cycle;
    \draw[thick] (A) -- (D);

    % 3. 标注顶点
    \node[above] at (A) {A};
    \node[below left] at (B) {B};
    \node[below right] at (C) {C};
    \node[below] at (D) {D};

    % 4. 绘制角度与标注
    % 绘制角 \beta
    \pic [draw, angle radius=0.5cm, ""$\beta$"", angle eccentricity=1.4] {angle = C--B--A};
    % 绘制角 \alpha
    \pic [draw, angle radius=0.6cm, ""$\alpha$"", angle eccentricity=1.3] {angle = D--A--C};
\end{tikzpicture}


（1）求 $\angle BAC$ 的值；

（2）若 $AC=\sqrt{5}DC$，求 $\beta$ 的值.",,
273,2026-M-深圳中学2026届高三二轮二阶测试-16-函数,函数\2026\2026-M-深圳中学2026届高三二轮二阶测试-16-函数.tex,2026,M,深圳中学2026届高三二轮二阶测试,16,函数,,否,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"数列 $\{a_n\}$ 满足对任意的正整数 $n$，函数 $f(x)=\dfrac{x^2}{2}+\ln x-(a_n+2)x$ 均存在两个极值点 $x_n<x_n'$.

（1）证明 $x_n+x_n'>2$；

（2）若 $\left|x_n-x_n'\right|=(n+1)a_n$，求 $\{a_n\}$ 的前 $n$ 项和 $S_n$.",,
274,2026-M-深圳中学2026届高三二轮二阶测试-17-立体几何,立体几何\2026\2026-M-深圳中学2026届高三二轮二阶测试-17-立体几何.tex,2026,M,深圳中学2026届高三二轮二阶测试,17,立体几何,,是,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"如图，四棱锥 $P-ABCD$ 中，$PA=PD=AD=CD=2$，$AB=1$，$AB\mathop{//}CD$ 且 $AB\perp AD$.

\begin{tikzpicture}[scale=1.2, line join=round]
    % 1. 定义底面与顶点的二维投影坐标
    \coordinate (A) at (1.2, 1.5);
    \coordinate (B) at (0, 0.5);
    \coordinate (D) at (4, 1);
    \coordinate (C) at (2.5, -0.5);
    \coordinate (P) at (3, 3.75);

    % 2. 绘制不可见的虚线边
    \draw[dashed, thick] (P) -- (A);
    \draw[dashed, thick] (B) -- (A);
    \draw[dashed, thick] (D) -- (A);

    % 3. 绘制可见的实线边
    \draw[thick] (P) -- (B);
    \draw[thick] (P) -- (C);
    \draw[thick] (P) -- (D);
    \draw[thick] (B) -- (C);
    \draw[thick] (C) -- (D);

    % 4. 标注顶点
    \node[below] at (A) {$A$};
    \node[left] at (B) {$B$};
    \node[below right] at (C) {$C$};
    \node[right] at (D) {$D$};
    \node[above] at (P) {$P$};

\end{tikzpicture}

（1）若平面 $PAD\perp$ 平面 $ABCD$，证明：平面 $PBC\perp$ 平面 $PCD$；

（2）若 $BC\perp PB$，求平面 $PBC$ 与平面 $PCD$ 的夹角的余弦值.",,
275,2026-M-深圳中学2026届高三二轮二阶测试-18-解析几何,解析几何\2026\2026-M-深圳中学2026届高三二轮二阶测试-18-解析几何.tex,2026,M,深圳中学2026届高三二轮二阶测试,18,解析几何,,是,解答题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设 $a$ 为实数，$\Gamma_1$ 是以点 $(0,0)$ 为顶点，以点 $F\left(0,\dfrac{1}{4}\right)$ 为焦点的抛物线，$\Gamma_2$ 是以点 $A(0,a)$ 为圆心、半径为 1 的圆位于 $y$ 轴右侧且在直线 $y=a$ 下方的部分.

（1）求 $\Gamma_1$ 与 $\Gamma_2$ 的方程；

（2）若直线 $y=x+2$ 被 $\Gamma_1$ 所截得的线段的中点在 $\Gamma_2$ 上，求 $a$ 的值；

（3）是否存在 $a$，满足：$\Gamma_2$ 在 $\Gamma_1$ 的上方，且 $\Gamma_2$ 有两条不同的切线被 $\Gamma_1$ 所解得的线段长相等？若存在，求出 $a$ 的取值范围；若不存在，请说明理由.",,"(1) 设 $\Gamma_1: x^2 = 2py\ (p>0)$. 由 $F\left(0, \dfrac{1}{4}\right)$ 计算可得 $\dfrac{p}{2} = \dfrac{1}{4} \Rightarrow p = \dfrac{1}{2}$.

因此有 $\Gamma_1: y = x^2$.

现在考虑 $\Gamma_2: x^2 + (y-a)^2 = 1\ (x > 0, y < a)$，

进行移项$(y-a)^2 = 1- x^2\ (x > 0, y < a)$，开方取负半部分得 $y = a - \sqrt{1-x^2}\ (0 <  x < 1)$.

因此有 $\Gamma_2: y = a - \sqrt{1-x^2}\ (0< x <1)$.

\begin{tikzpicture}[scale=2]
    % 定义参数
    \def\a{1.8} % 圆心 y 坐标
    \def\thetaAngle{40} % 半径与负 y 轴的夹角 (对应草图中的 \theta)
    
    % 坐标轴
    \draw[->, thick] (-2, 0) -- (2.5, 0) node[below] {$x$};
    \draw[->, thick] (0, -0.5) -- (0, 3.5) node[right] {$y$};
    \node[below left] at (0,0) {$O$};
    
    % 抛物线 \Gamma_1: y=x^2
    \draw[thick, name path=parabola] plot[domain=-1.5:1.6, samples=100] (\x, {\x*\x});
    
    % 圆心 A(0, a)
    \coordinate (A) at (0, \a);
    \fill (A) circle (1.2pt) node[left] {$A(0,a)$};
    
    % 圆 \Gamma_2 (半径为1)
    \draw[thick] (A) circle (1);
    
    % 切点 P: (\sin\theta, a - \cos\theta)
    \coordinate (P) at ({sin(\thetaAngle)}, {\a - cos(\thetaAngle)});
    
    % 计算切线的斜率和截距
    % 根据几何关系，半径 AP 的倾角为 -90+\thetaAngle，因此切线倾角为 \thetaAngle
    \def\slope{tan(\thetaAngle)}
    \def\yint{\a - 1/cos(\thetaAngle)}
    
    % 绘制切线 (红色)
    \draw[thick, black, name path=tangent] plot[domain=-1.3:1.8] (\x, {\slope*\x + \yint});
    
    % 半径 AP (红色)
    \draw[thick, black] (A) -- (P);
    
    % 辅助线：向下垂线和 P 点水平线
    \coordinate (Adown) at (0, {\a - 1.2});
    \draw[dashed] (A) -- (Adown);
    \coordinate (Pright) at ($(P) + (1, 0)$);
    \draw[dashed] (P) -- (Pright);
    
    % 使用 intersections 求切线与抛物线的交点 M, N
    \path [name intersections={of=parabola and tangent, by={M,N}}];
    
    % 绘制交点及标签 (红色)
    \fill[black] (P) circle (1.2pt) node[below] {$M$};
    \fill[black] (M) circle (1.2pt) node[left] {$P$};
    \fill[black] (N) circle (1.2pt) node[right] {$Q$};
    
    % 标记角度 \theta
    % A 处的 \theta
    \pic [draw, black, ""$\theta$"", angle radius=0.4cm, angle eccentricity=1.5] {angle = Adown--A--P};
    
    % P 处的 \theta (切线与水平线的夹角)
    \coordinate (Pline) at ($(P) + (1, {\slope})$);
    \pic [draw, black, ""$\theta$"", angle radius=0.5cm, angle eccentricity=1.4] {angle = Pright--P--Pline};
    
    % 标记切点 P 处的直角
    \coordinate (Ptang) at ($(P) + (-0.5, {-0.5*\slope})$);
    \pic [draw, black, angle radius=0.2cm] {right angle = A--P--Ptang};
    
\end{tikzpicture}

(2) 设 $P(x_1, y_1), Q(x_2, y_2)$ 为 $\Gamma_1$ 与直线 $l:y=x+2$ 的两个交点，点 $M$ 为 $PQ$ 中点 $M(x_0, y_0)$.

考虑点差法，根据 $P,Q$ 在 $\Gamma_1$ 上，故有 $\begin{cases} y_1 = x_1^2 \\ y_2 = x_2^2 \end{cases}$

因此 $ y_2 - y_1 = x_2^2 - x_1^2 $，即 $ k_{PQ}=\dfrac{y_2 - y_1}{x_2 - x_1} = x_2 + x_1=1$.

所以 $x_M = \dfrac{x_1 + x_2}{2} = \dfrac{1}{2}$. 代入直线 $l$ 可得 $y_M=\dfrac{1}{2}+2=\dfrac{5}{2}$.

即 $M\left(\dfrac{1}{2}, \dfrac{5}{2}\right)$，代入 $\Gamma_2$ 有 $\dfrac{5}{2} = a - \sqrt{1 - \left(\dfrac{1}{2}\right)^2}$，整理得 $a = \dfrac{5+\sqrt{3}}{2}$.

(3) 由题意，首先需保证 $\Gamma_2$ 在 $\Gamma_1$ 上方，即对于任意 $x \in (0,1)$，有 $a - \sqrt{1-x^2} > x^2$ 恒成立。

令 $u = \sqrt{1-x^2} \in (0,1)$，则不等式化为 $a > -u^2 + u + 1 = -\left(u - \dfrac{1}{2}\right)^2 + \dfrac{5}{4}$.

由于 $u \in (0,1)$，右侧最大值为 $\dfrac{5}{4}$，故 $a > \dfrac{5}{4}$. 


设切点 $M(\sin\theta, a-\cos\theta)$. 由于圆方程为 $x^2 + (y-a)^2 = 1$，因此过圆上切点 $M$ 的切线方程为：
$\sin\theta \cdot x + (-\cos\theta)(y-a) = 1$.

由于 $\theta \in \left[0, \dfrac{\pi}{2}\right)$，所以 $\cos\theta \in (0, 1]$. 将切线方程化为：$y = \tan\theta \cdot x + a - \dfrac{1}{\cos\theta}$.

与抛物线联立得：
$$
\tan\theta \cdot x + a - \dfrac{1}{\cos\theta} = x^2 \implies x^2 - \tan\theta \cdot x + \dfrac{1}{\cos\theta} - a = 0.
$$

仍设切线与抛物线交于 $P(x_1, y_1), Q(x_2, y_2)$，则：$x_1 + x_2 = \tan\theta, \quad x_1 x_2 = \dfrac{1}{\cos\theta} - a$.


\begin{align*}
|MN| &= \sqrt{(k^2+1)[(x_1+x_2)^2 - 4x_1x_2]} \\
&= \sqrt{(\tan^2\theta+1)\left[\tan^2\theta + 4a - \dfrac{4}{\cos\theta}\right]} \\
&= \sqrt{\dfrac{\sin^2\theta+\cos^2\theta}{\cos^2\theta} \cdot \dfrac{\sin^2\theta + 4a\cos^2\theta - 4\cos\theta}{\cos^2\theta}} \\
&= \sqrt{\dfrac{(4a-1)\cos^2\theta - 4\cos\theta + 1}{\cos^4\theta}}
\end{align*}


记 $t = \dfrac{1}{\cos\theta}$，由于 $\theta \in \left(0, \dfrac{\pi}{2}\right)$ 时 $\cos\theta \in (0, 1)$，所以 $t > 1$. 则 $|MN| = \sqrt{(4a-1)t^2 - 4t^3 + t^4}$.

考虑函数 $f(t) = t^4 - 4t^3 + (4a-1)t^2 \quad (t > 1)$.

若要满足题意，即存在两条不同的切线截得线段长相等，等价于存在不同的 $m, n \in (-\infty, -1)$ 使得 $f(m) = f(n)$，即 $f(t)$ 在 $(1,\infty)$ 上不具有单调性。

通过上面的转化我们就把切线的存在性化为了一个方程有解的问题，就变为了大家熟悉的经典导数分析交点问题了。

对 $f(t)$ 求导得 $f'(t) = 4t^3 - 12t^2 + (8a-2)t = 2t(2t^2 - 6t + 4a - 1)$.

因为 $t > 1$，所以 $2t > 0$，
而二次函数 $y = 2t^2 - 6t=2(t-\dfrac{3}{2})^2-\dfrac{9}{2}$，故 $2t^2 - 6t \in \left[-\dfrac{9}{2}, +\infty\right)$.

若 $4a - 1 \geqslant  \dfrac{9}{2} $，即 $a \geqslant \dfrac{11}{8}$ 时，有 $2t^2 - 6t + 4a - 1 \geqslant 0$ 恒成立，从而 $f'(t) \geqslant 0$.

此时 $f(t)$ 在 $(1,+\infty)$ 上单调递增，不存在不同的 $t_1, t_2$ 使 $f(t_1) = f(t_2)$，不合题意。

若 $4a - 1 < \dfrac{9}{2} $， 即 $a < \dfrac{11}{8}$ 时， $2t^2 - 6t + 4a - 1$ 在 $(1,+\infty)$ 上有两个不同的零点，

此时 $f'(t)$ 有两零点 $t_1, t_2$（不妨设 $t_1 < t_2$）.

$f(t)$ 在 $(1,t_1)$ 上单调递增，在 $(t_1, t_2)$ 上单调递减，在 $(t_2, +\infty)$ 上单调递增。

此时必然存在不同的 $m, n$ 使得 $f(m) = f(n)$，符合题意。

综上所述，结合前面求得的 $a > \dfrac{5}{4}$，
$a$ 的取值范围是 $a \in \left(\dfrac{5}{4}, \dfrac{11}{8}\right)$."
276,2026-M-深圳中学2026届高三二轮二阶测试-19-概率,概率\2026\2026-M-深圳中学2026届高三二轮二阶测试-19-概率.tex,2026,M,深圳中学2026届高三二轮二阶测试,19,概率,,否,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"数学中的等效性与对称性不仅体现在几何和函数中，还体现在概率问题中．已知一个不透明的罐子中有编号分别为 $1,2,3,\cdots,2n$ 的 $2n$ 个小球（$n\geq2$），除编号外，小球的大小、质地完全相同．现从中一次性随机摸出 $k$ 个小球．

（1）若 $n=4$，$k=3$，求这 $k$ 个小球编号两两不相邻的概率；

（2）记 $X,Y$ 分别为摸出的这 $k$ 个小球的最大、最小编号，求 $E(X+Y)$；

（3）若 $k=n$，记 $\Delta$ 表示摸出小球的最大最小编号之差，$\bar{\Delta}$ 表示未摸出小球的最大最小编号之差，记 $P_n(A)=P(\Delta=\bar{\Delta})$，证明 $P_n(A)>\dfrac{1}{6}\left(1-\dfrac{1}{4^{n-2}}\right)$.

参考公式：已知随机变量的期望具有线性可加性，即对于随机变量 $\xi,\eta$，有 $E(\xi\pm\eta)=E(\xi)\pm E(\eta)$.",,
279,2026-M-江苏省苏北七市2026届高三年级第一次调研测试-1-集合,集合\2026\2026-M-江苏省苏北七市2026届高三年级第一次调研测试-1-集合.tex,2026,M,江苏省苏北七市2026届高三年级第一次调研测试,1,集合,,否,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知集合 $A=\{x\mid x^2\leq6\}$，$B=\{-3,-1,0,2,3\}$，则 $A\cap B=$ (\hspace{1cm})
\begin{choices}
\choice{{$\{-3,-1\}$}}
\choice{{$\{-1,0,2\}$}}
\choice{{$\{0,2,3\}$}}
\choice{{$\{-3,-1,0,2\}$}}
\end{choices}",B,"由 $x^2\leq6$ 得 $-\sqrt{6}\leq x\leq\sqrt{6}$，而 $\sqrt{6}\approx2.45$，故 $A=[-\sqrt{6},\sqrt{6}]$。  
集合 $B=\{-3,-1,0,2,3\}$ 中满足 $-\sqrt{6}\leq x\leq\sqrt{6}$ 的元素为 $-1,0,2$，  
因此 $A\cap B=\{-1,0,2\}$。"
280,2026-M-江苏省苏北七市2026届高三年级第一次调研测试-2-复数,复数\2026\2026-M-江苏省苏北七市2026届高三年级第一次调研测试-2-复数.tex,2026,M,江苏省苏北七市2026届高三年级第一次调研测试,2,复数,,否,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知复数 $z=\dfrac{2}{1+i}$，则 $\overline{z}=$
\begin{choices}
\choice{{$1-i$}}
\choice{{$1+i$}}
\choice{{$-1-i$}}
\choice{{$-1+i$}}
\end{choices}",B,"$z=\dfrac{2}{1+i}=\dfrac{2(1-i)}{(1+i)(1-i)}=\dfrac{2(1-i)}{2}=1-i$，  
故 $\overline{z}=1+i$。"
281,2026-M-江苏省苏北七市2026届高三年级第一次调研测试-3-数列,数列\2026\2026-M-江苏省苏北七市2026届高三年级第一次调研测试-3-数列.tex,2026,M,江苏省苏北七市2026届高三年级第一次调研测试,3,数列,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设 $S_n$ 是等比数列 $\{a_n\}$ 的前 $n$ 项和，若 $S_2=3a_2$，$a_1=2$，则 $a_4=$ (\hspace{1cm})

\begin{choices}
\choice{{$\dfrac{1}{4}$}}
\choice{{$4$}}
\choice{{$8$}}
\choice{{$16$}}
\end{choices}",A,
